incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
Inc001115,Asslt,South,Maplewood,Ga,2830 Cedar Lane,,-77.50071,2024-04-16 08:45:03,Off0078,Emily,Davis,1342.0,Sus00281,Barbara,Thomas,51.0,Male,Asian,Vic00642,Robert,Torres,51.0,Unknown,6223265920,Firearm,Medium,Open,No Arrest,,,Yes,Incident At 2830 Cedar Lane. Officer Responded At Scene.
Inc004706,Burglary,Southeast,Maplewood,Oh,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,Off0059,Michelle,Green,5133.0,Sus00376,Barbara,Harris,,Other,Black,Vic00262,John,Martin,,,2419734826,Firearm,High,,,2.0,44839.49,Yes,Incident At 2361 Park Rd. Officer Responded At Scene.
Inc002249,Homocide,Southwest,Lakewood,Az,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,Off0088,Michael,White,7781.0,Sus00560,Richard,Scott,19.0,Female,Asian,Vic00518,Richard,Hill,29.0,Other,2445847696,Knife,Low,Closed,Warning,2.0,15963.38,Yes,Incident At 1067 Main St. Officer Responded At Scene.
Inc000021,Property Damage,Central,Springfield,Az,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,Off0077,Chris,Jackson,5097.0,Sus00468,Michael,Thomas,,Male,Black,Vic00243,Susan,Young,,,5021227484,Hands/Feet,Low,Resolved,,5.0,48680.14,No,Incident At 4713 Washington Ave. Officer Responded At Scene.
Inc000488,Domestc Violence,North,Lakewood,Pa,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,Off0083,Susan,Flores,6220.0,Sus00751,Thomas,Jackson,75.0,Female,White,Vic00512,Thomas,Thomas,51.0,Male,9698766873,Unarmed,Medium,Closed,Warning,2.0,23513.01,Yes,
Inc000661,Breaking & Entering,East,Hillcrest,Ca,3551 Elm Blvd,44.438603,-101.775119,,Off0089,Jennifer,Green,7082.0,Sus00454,James,Lee,73.0,,White,Vic00473,Anthony,Wilson,15.0,,5903326488,Blunt Object,High,Under Investigation,Arrest Made,1.0,,Yes,Incident At 3551 Elm Blvd. Officer Responded At Scene.
Inc001727,Robbery,Southeast,Maplewood,Tx,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,Off0141,Jennifer,Harris,7747.0,Sus00623,Carol,Harris,58.0,Female,Unknown,Vic00429,Mary,Walker,72.0,Female,4315796170,Blunt Object,,Closed,Warning,3.0,,Yes,Incident At 7394 Cedar Lane. Officer Responded At Scene.
Inc003981,Manslaughter,Midtown,Centerville,Il,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,Off0008,Karen,Hall,7869.0,Sus00533,Jennifer,Taylor,73.0,Male,White,Vic00904,David,Torres,,Female,5875051798,,Low,Open,No Arrest,2.0,19075.36,No,Incident At 1610 River Rd. Officer Responded At Scene.
Inc001205,B&E,East,Centerville,Oh,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,Off0034,Daniel,Jackson,8229.0,Sus00320,Robert,Hill,26.0,Male,Hispanic,Vic00093,Mary,Lee,55.0,Other,3956212676,Hands/Feet,Critical,Under Investigation,Warning,0.0,34452.47,Yes,Incident At 378 Oak Ave. Officer Responded At Scene.
Inc000972,Homocide,Northeast,Riverside,Il,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,Off0093,Mary,Thompson,7242.0,,,,,,,Vic00859,Michelle,Hill,10.0,,3764403132,Rifle,Medium,Under Investigation,,5.0,35339.52,,
Inc002898,Property Damage,Central,Oakdale,Ny,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,Off0035,John,Jones,9036.0,Sus00005,Ashley,Harris,49.0,Female,Black,Vic00682,Mark,Young,47.0,,5964449767,,High,Under Investigation,,0.0,27438.67,No,Incident At 9798 Elm Blvd. Officer Responded At Scene.
